Priority,Sport,Segment,Creator,Platform & Handle,Followers,Style,Why fit
High,Baseball,Show / Gaming (YT+Twitch),Scrawny Slugger,YouTube @ScrawnySlugger; TikTok @scrawnysluggeryt,YT unverified; 64.8k TikTok,"RTTS/franchise storytelling (""I put myself in MLB"")","""Create a player, watch his career"" narrative = literally our premise"
Medium-High,Baseball,Show / Gaming (YT+Twitch),ShowZone,showzone.gg + YouTube/X @mlbtheshowzone,unverified; self-described largest Show companion platform,DD database/market tools,Utility site every DD player uses daily - banner/newsletter sponsorship at utility CPMs
High,Baseball,TikTok / Instagram,Stephen Schoch,TikTok @stephen_schoch; X @bigdonkey47,"~27k TikTok, ~128k X",Ex-college-pitcher comedy,Beloved funny pitcher persona; audience = terminally online baseball people; cheap high-engagement test buy
High,Baseball,TikTok / Instagram,The Umpire Channel,TikTok @theumpirechannel,~176k TikTok,Umpire comedy/culture,Baseball-culture comedy audience overlapping casual browser-game players
High,Baseball,Show / Gaming (YT+Twitch),TwinGamingTV,YouTube/Twitch twingamingtv,~96k subs (avg ~1.6k views/video),"Positive-vibes DD, near-daily uploads",Loyal older-fan audience; modest views = realistic indie pricing
High,Baseball,Show / Gaming (YT+Twitch),YourFriendKyle,YouTube @YourFriendKyleMLB; Twitch YourFriendKyle,~116k YT; was 10th most-subscribed channel on all of Twitch,Marathon Show Twitch streams,#1 Show streamer by Twitch engagement - one sponsored segment reaches the hardest-core audience
High,Basketball,NBA / NBA 2K,JoestarJokic,X @JoestarJokic; TikTok,~42k X,"NBA memes + ""State of the League"" pod","Small, hyper-engaged meme audience; OVR debates are his lane"
High,Basketball,NBA / NBA 2K,Nekias Duncan,X/YouTube @NekiasNBA (Dunker Spot),~107k X,Film-study NBA analysis + podcast,Analytics-minded fans enjoy rating mechanics; affordable
High,Basketball,NBA / NBA 2K,Nerd Sesh,YouTube @Nerd_Sesh; TikTok @nerdsesh,"~4.7k YT, ~70k TikTok",NBA/NFL trivia + stat deep-dives,Ball-knowledge/ratings audience loves min-maxing a 99 OVR; cheap
High,Basketball,NBA / NBA 2K,OlajuwonDR34M,YouTube/IG/TikTok/X @olajuwondr34m,~27k YT,"NBA 2K26 build guides (best builds, jumpshots, badges)","Near-perfect match; his audience literally watches ""how to build a player"""
High,Football,Round 2 (Madden/CFB/NFL),C4,YouTube @C4YouTube,Mid (unverified),"""Realistic Rebuild"" Madden franchise + CFB dynasty",Builds/rebuilds rosters from real ratings; near-identical mechanic
High,Football,College (culture+gaming),CFBudge,TikTok @cfbudge,"~152k TikTok, 17M likes",Rankings/takes/bracketology,Short-form CFB takes audience; indie-friendly self-monetizing creator
High,Football,College (culture+gaming),College Football meme page,IG @collegefootball,~370k IG,"CFB memes, highlights",Faceless meme pages charge far below personal-creator rates; pure CFB-fan firehose
High,Football,College (culture+gaming),College Football Nerds,YouTube College Football Nerds,~45k,Data/analytics CFB previews,Hardcore CFB stat nerds who will min-max a ratings game; dedicated video fits budget
High,Football,Round 2 (Madden/CFB/NFL),GoodGameBro (Douglas Veney),YouTube/IG @goodgamebro,~250k YT,"Madden + NCAA Face-of-Franchise, EA Game Changer",Career-mode / create-a-player content is the closest match; EA-vetted
High,Football,Round 2 (Madden/CFB/NFL),Josh Mancuso,IG @joshmancuso; TikTok @thejoshmancuso,"~312k IG, ~170k TikTok",One-man CFB comedy sketches,CFB comedy audience; Signing Day / mascot flavor is on-brand
High,Football,Round 2 (Madden/CFB/NFL),Marty Mush,IG @martymush; TikTok @marty_mush; X,"~109k IG, ~210k X",Barstool CFB & sports-culture personality,"Affordable, multi-platform, plays a lot of EA CFB on stream"
High,Football,Round 2 (Madden/CFB/NFL),no context college football,X @nocontextcfb; IG @_nocontextcfb,~260k X,Viral out-of-context CFB clips/memes,Cheap high-velocity CFB reach; tracked-link post fits
High,Football,Round 2 (Madden/CFB/NFL),Wheels,Twitch twitch.tv/wheels; YouTube @WheelsYT,Unverified (daily streamer),Daily CFB dynasty streams + rankings,"Dynasty superfan audience; easy live ""build-a-QB"" segment"
High,Hockey,NHL / EA NHL,Jesse Pollock,TikTok @jessepollock22; IG; X @jpolly22,"~290k TikTok, ~113k IG",Goofy hockey hot-takes & reaction comedy,Affordable engaged mid audience; playful build-video format
High,Hockey,NHL / EA NHL,JFresh Hockey,X @JFreshHockey; IG,~148k X,Hockey analytics & player-rating cards,Audience is natively about player ratings/cards; cheap X post
High,Hockey,NHL / EA NHL,Memes of Hockey,IG @memes_of_hockey,~91k IG,NHL meme reposts,Micro meme reach at near-throwaway cost
High (fit),Hockey,NHL / EA NHL,Nasher (Andrew Telfer),YouTube @TheNasher61; TikTok @nasher; X,"~988k YT, ~567k TikTok","EA NHL gameplay (HUT, franchise, reveals)",Closest content match; pioneered EA NHL YouTube
High (cheap reach),Hockey,NHL / EA NHL,NHL Hockey Memes,IG @hockeytrolls,~361k IG,Memes + highlight clips,"Meme accounts drive cheap viral reach; ""build a 99"" is meme-able"
High,Hockey,NHL / EA NHL,Rick Rowley,TikTok @rickrowleycomedy; IG,~34k TikTok,Beauty/greaser hockey comedy sketches,"Micro, cheap, tight hockey-comedy niche; ideal indie test"
High (fit + price),Hockey,NHL / EA NHL,Thrash94Gaming,Twitch @thrash94gaming,Unverified (micro),Live NHL 26 HUT/gameplay,Direct gameplay match; cheap native live segment
High (owner pick),Multi-sport,Owner picks,drewfenny (Andrew Fenichel),TikTok/IG @drewfenny; YouTube @AndrewFenichel; X @Andrew_Fenichel,~64k TikTok,Sports comedy/culture (DC-sports lean),"Owner pick; playful ""spin your guy"" reaction format. Email: drewfennytv@gmail.com"
High (owner pick),Multi-sport,Owner picks,Mills,YouTube/X @MillsTwitch; Twitch twitch.tv/mills,Unverified (Twitch Partner),"Sports-gaming streams: College Football, Madden, MLB The Show + variety","Spans several GoatLab modes at once; native fit for a live ""spin & build"" segment"
High,Soccer,EA FC / Football Manager,FM Llama,YouTube @FMLlama,~9.3k (unverified),"FM ""for purists""","True micro, cheap, hyper-engaged FM niche; ideal test buy"
High,Soccer,EA FC / Football Manager,lollujo (Kevin Chapman),YouTube @lollujo,Established (unverified),"Daily FM ""Non-League to Legend""",Longest-running FM series; loves player-progression hooks
High,Soccer,EA FC / Football Manager,TomFM,YouTube TomFM,~282k YT (unverified),"FM lets-plays, experiments, guides","FM ""build a wonderkid"" audience overlaps directly"
High,Soccer,EA FC / Football Manager,WorkTheSpace (Jack Peachman),YouTube @WorkTheSpace; Twitch,~185k+ YT,Long FM saves + streams,"Niche engaged FM fanbase, affordable, sim-native"
High,Soccer,EA FC / Football Manager,Zealand,YouTube @ZealandonYT; Twitch,~400k YT,"Football Manager story-saves, kit design","American FM creator; closest content match (build-a-club sim), US-reachable"
Medium,Baseball,TikTok / Instagram,Austin Schultz,TikTok @austin.schultz,~887k TikTok,Ex-pro comedy (umpire/coach skits),Pure baseball-comedy reach at mid-tier pricing
Medium,Baseball,Round 2 (mixed),Baseball Dugout,IG @baseballdugout; TikTok,~391k IG,Highlights/memes + podcast,Broad MLB meme/highlight audience; shareable clips
Medium,Baseball,Round 2 (mixed),Coach Murph,TikTok/IG @icoachbaseball,~138k TikTok,Hitting drills / swing-sequence coaching,Engaged skills audience; batter crossover
Low-Medium,Baseball,X / Twitter,Codify (Michael Fisher),@CodifyBaseball,unverified (conflicting counts),"Stat nuggets, pitching one-liners",Verified active; confirm size before outreach
Medium,Baseball,Round 2 (mixed),"Dakota ""Stilts"" Albritton",IG @dakota_albritton,~126k IG,"Savannah Bananas stilt-pitcher, viral novelty",Casual baseball-fan crowd; matches a lightweight game
Low-Medium,Baseball,Round 2 (mixed),FireHandCards,YouTube @FireHandCards,~16k YT,Baseball card breaks / hobby,Collector audience overlaps with collect/rate mechanic; cheap
Medium,Baseball,TikTok / Instagram,Hunter Hanes,TikTok @itshunterhanes,~508k TikTok,Baseball-life comedy skits,Audience = players who'd share OVR builds
Medium,Baseball,Round 2 (mixed),Jake Savicki,TikTok @jakesavicki,~500k+ TikTok,Baseball culture/comedy,Big casual baseball-culture reach; playful tone
Medium,Baseball,X / Twitter,Jared Carrabis,@Jared_Carrabis,~445–485k,Loud baseball-lifer takes,"Meme-fluent audience, engages with fan-made stuff"
Medium,Baseball,X / Twitter,Jomboy Media,@JomboyMedia,~475k,Viral baseball video/meme network,Career-card screenshots made for their QT culture
Medium,Baseball,Show / Gaming (YT+Twitch),KevinGohD,YouTube @KevinGohD,~290k subs,"Comedic ""average Joe"" DD gameplay",Community favorite for funny casual content; goofy browser game suits him
Medium,Baseball,Show / Gaming (YT+Twitch),Koogs46,YouTube Koogs46,~280k subs,Daily Diamond Dynasty grind + launch streams,"High-frequency DD machine, always needs fresh baseball-game material"
Medium,Baseball,Round 2 (mixed),MLW Wiffle Ball (Kyle Schultz),YouTube @MLWWiffleBall,~532k YT,Backyard/pro wiffle ball league,Baseball-obsessed play-the-game crowd
Medium,Baseball,Show / Gaming (YT+Twitch),OOTPaddy,YouTube @OOTPaddy,unverified (micro),Out of the Park Baseball sims,Sim diehards who love stat lines + HOF verdicts
Medium,Baseball,TikTok / Instagram,Rob Friedman (Pitching Ninja),IG @pitchingninja; X @PitchingNinja,~700k+ IG,Nasty-pitch GIFs / pitching analysis,The single most on-brand account in baseball for this game
Medium,Baseball,TikTok / Instagram,Robby Rowland,TikTok/IG @robbyrow12,"~789k TikTok, ~248k IG",Ex-pro pitching tips + positivity,10-yr pro explaining pitching - perfect demo for slot-by-slot builds
Medium,Baseball,Show / Gaming (YT+Twitch),Shelfy,YouTube Shelfy; Twitch RealShelfy,"~200k+ YT, ~100k Twitch (unverified current)","Show playthroughs, guides",Provably sponsorable (official MiLB IronPigs deal)
Medium,Baseball,X / Twitter,Talkin' Baseball (Jomboy),@TalkinBaseball_,~554k,"Podcast clips, fan banter",Their audience plays exactly these share-your-result games
Low-Medium,Baseball,Round 2 (mixed),Tanner Thomas,TikTok/IG @tannerthomas_,"~713k TikTok, ~329k IG",Bananas / Party Animals entertainer,"Large casual crowd; pricier, less gaming-focused"
Medium,Baseball,Round 2 (mixed),Teacherman Hitting (Richard Schenck),TikTok/IG @teachermanhitting,"~374k TikTok, ~127k IG",Hitting mechanics (Aaron Judge's coach),High-authority hitting audience for batter mode
Medium,Baseball,Round 2 (mixed),The Hitting Vault,IG/TikTok @thehittingvault,~60k IG,Hitting instruction platform,"Skills audience, mid and affordable"
Low-Medium,Baseball,Round 2 (mixed),Tread Athletics,IG @tread_athletics; YouTube,~225k IG,Pitching velocity development company,Serious pitching audience; may prefer a brand deal
Medium,Baseball,X / Twitter,Umpire Scorecards,@UmpScorecards,~163–176k (sources conflict),Daily ump-accuracy graphics,Indie data-viz project beloved by Baseball Twitter
Medium,Baseball,X / Twitter,Would It Dong?,@would_it_dong,~196k,Stat-bot + dry humor,Proof indie baseball web tools go viral here; indie-builder peer
Medium,Basketball,NBA / NBA 2K,Elite Takes (Nico),TikTok @elitetakes; X @elitetakes_,"~700k TikTok, ~109k X","NBA debate/takes, tier-lists","Tier-list format overlaps with ""assign a rating""; bracket audience"
Medium,Basketball,NBA / NBA 2K,HankDaTank,YouTube hankdatankyt,~930k YT,NBA 2K MyTeam / pack openings,2K pack-opening audience = the slot-machine reel mechanic
Medium,Basketball,NBA / NBA 2K,ImDavisss,YouTube @ItsDavisss,~1.22M YT,NBA 2K gameplay & challenges,"Core 2K MyPlayer audience; ""build a 99"" challenge fits"
Medium,Basketball,NBA / NBA 2K,JxmyHighroller,YouTube JxmyHighroller,~2.45M YT,NBA video-essay analysis,Stats/rating-literate viewers; fun segment potential
Medium,Basketball,NBA / NBA 2K,KOT4Q,YouTube @kot4q; Twitch,~1.46M YT,NBA 2K + reactions/betting/comedy,Broad NBA-gaming crossover; casual free game fits
Medium,Basketball,NBA / NBA 2K,Legion Hoops,X @LegionHoops,~820k X,NBA news aggregator/culture,Big NBA-Twitter distribution for a tracked-link post
Medium,Basketball,NBA / NBA 2K,NBACentel,X @NBACentel,~700k+ X (unverified),NBA satire/parody news,"Massive viral NBA-Twitter reach; funny ""build"" post fits"
Medium,Football,Round 2 (Madden/CFB/NFL),All College Football,IG @allcfb,~601k IG,Largest CFB highlights/meme community,Broad CFB reach via one sponsored post
Medium,Football,Round 2 (Madden/CFB/NFL),Bengal,YouTube @Bengal; X @BengalYouTube,~611k YT,Madden 26 & CFB 26 rebuild/dynasty,Perfect content overlap; big engaged CFB-gaming base
Medium (stretch - pitch integration),Football,College (culture+gaming),Bordeaux (James Bordeaux),YouTube @bordeaux; X @bordeauxyoutube; TikTok @bordeauxyt,~513–600k YT; 576k TikTok,CFB dynasty rebuilds; leading #CFBPlayDontPay anti-microtransaction movement,Most influential CFB-rebuild creator; his anger at EA CFB27 microtransactions makes a FREE browser CFB game a perfect counter-narrative pitch
Medium,Football,Round 2 (Madden/CFB/NFL),Elite College Football,IG @elitecollegefootball,~249k IG,CFB hype/highlights community,Simple sponsored shoutout to a pure-CFB audience
Medium,Football,College (culture+gaming),Hayes Fawcett,IG @hayesfawcett3; X @Hayesfawcett3,"~407k IG, ~351k X",Recruiting commitment graphics (On3),"Our Signing Day hat-grab IS his format - ""commit graphic for your simulated player"" gag"
Medium,Football,College (culture+gaming),Not The Expert (Drew Morris),YouTube @NTE_; X @NotTheExpertYT,unverified,Comedic career-mode/dynasty playthroughs,"His ""brutally honest college career"" humor = our verdict tiers (""Hall of Walk-Ons"")"
Medium,Football,Round 2 (Madden/CFB/NFL),SEC Shorts,YouTube @SECShorts; TikTok @secshortsfball,"~330k YT, ~97k TikTok",Premier CFB sketch-comedy duo,"Beloved CFB brand; ""build your recruit"" sketch would resonate"
Medium,Football,Round 2 (Madden/CFB/NFL),snarp.shorts,TikTok @snarp.shorts,~417k TikTok,CFB fan-troll / rage-bait comedy,High-engagement CFB comedy; rivalry angle suits team-picking
Medium,Football,College (culture+gaming),SOFTDRINKTV,YouTube @SOFTDRINKTV,~173k (unverified freshness),Sports-game retrospectives/critiques,"Nostalgic for old NCAA games, critical of EA - receptive to an indie alternative"
Medium,Football,Round 2 (Madden/CFB/NFL),Tom Grossi,YouTube ~1M; IG/TikTok @tomgrossicomedy,"~81k IG, ~55k TikTok","""Chaotic good"" NFL fan comedy",NFL-fan comedy; affordable on IG/TikTok
Medium,Football,College (culture+gaming),trevandchels,YouTube trevandchels,unverified,Family-friendly CFB Road to Glory series (EA Creator Network),Already narrates RTG careers episode-by-episode
Medium,Hockey,NHL / EA NHL,AlwaysHockey,TikTok @alwayshockey; YouTube,"~1.2M TikTok, ~488k YT","NHL highlights, gear, gameplay",Big multi-platform hockey-gamer audience
Medium,Hockey,NHL / EA NHL,Cherkasov,TikTok @cherkasov_17,~292k TikTok (unverified),Hockey clips/comedy,"Mid TikTok reach, affordable"
Medium,Hockey,NHL / EA NHL,Coach Chippy,TikTok @coachchippyy,~800k TikTok,Relatable hockey comedy,"Proven brand-deal creator, broad culture reach"
Medium,Hockey,NHL / EA NHL,Coach Jeremy (How To Hockey),YouTube @howtohockey; TikTok; IG,"~963k TikTok, ~377k YT","Hockey skills, tips, gear reviews",Deeply-hockey audience; does product/tool features
Medium,Hockey,NHL / EA NHL,HockeyFights,IG @hockeyfights,~552k IG,Fights & big-hit highlights,Large casual highlight audience; efficient IG post
Medium,Hockey,NHL / EA NHL,Luke Westfield,TikTok @lukewestfield_,~220k TikTok (unverified),Hockey comedy/lifestyle,"Mid engaged TikTok audience, budget-friendly"
Medium,Hockey,NHL / EA NHL,Nick the Goalie,TikTok @nickthegoalie_1,~1.2M TikTok,Goalie comedy / wholesome skits,"Huge casual reach; ""build the perfect goalie"" hook"
Medium,Hockey,NHL / EA NHL,Pete Blackburn,X @PeteBlackburn; IG,~152k X,Comedic NHL writer/analyst,Comedy-forward hockey-Twitter reach; low-cost post
Medium,Hockey,NHL / EA NHL,Spittin' Chiclets Memes,IG @spittinchicletsmemes,~204k IG,Official Chiclets meme feed,Rides the biggest hockey brand at a fraction of the pod price
Medium,Hockey,NHL / EA NHL,Steve Dangle,YouTube SteveDangle; X @Steve_Dangle,Unverified (mid-large),Leafs/NHL commentary & podcast,Loyal fanbase; podcast read ideal for a link drop
Medium,Hockey,NHL / EA NHL,The Hockey Guy (THG),YouTube @thehockeyguy,~385k YT,Wry NHL team/player analysis,Player-rating-obsessed audience; daily uploads
Medium,Soccer,EA FC / Football Manager,Axel Footy,TikTok @axel.footy,Mid (unverified),US soccer news/reactions,"Florida-based, English, WC2026 creator correspondent"
Medium,Soccer,EA FC / Football Manager,DhTekKz,YouTube DhTekKz,~938k YT,EA FC competitive/skills,Comp EA FC audience obsessed with player ratings
Medium,Soccer,EA FC / Football Manager,Footy Humour,X @FootyHumour; IG @footyhumour,~1.2M X,Football memes/banter,Huge cheap reach on X; build-screenshot content is native
Medium,Soccer,EA FC / Football Manager,HITC Sevens,YouTube HITC Sevens,~579k YT,Football lists/stats/trivia,"Ratings / ""who's better"" list format maps onto build-an-OVR"
Medium,Soccer,EA FC / Football Manager,NickRTFM,Twitch/YouTube runthefutmarket,Unverified,EA FC Ultimate Team streams,Live UT audience good for a spin-and-build segment
Medium,Soccer,EA FC / Football Manager,Ovvy FC,YouTube @OvvyFC,~744k YT,"EA FC tutorials/skills, ex-champion",Ultimate Team teaching audience; OVR framing matches
Medium,Soccer,EA FC / Football Manager,Refs Need Love Too (David Gerson),TikTok @refsneedlovetoo; IG,"~213k TikTok, ~81k IG",US referee/culture explainers,"US-based, English, broad soccer-culture reach, affordable"
Medium,Soccer,EA FC / Football Manager,Soccer Memes,X @SoccerMemes,~12.8k X,Football memes,"Micro, cheap; meme format suits a ""99 OVR"" screenshot"
Medium,Soccer,EA FC / Football Manager,Team Gullit,YouTube @teamgullit; IG @theteamgullit,Unverified,EA FC pro academy content,Ratings/meta-savvy competitive audience; brand-friendly
Low,Baseball,TikTok / Instagram,Baseball Bat Bros,TikTok/IG @baseballbatbros,"~1.5M TikTok, ~1M IG",Bat reviews / hitting content,Better fit for Batting Lab; equipment-focused and large
Low,Baseball,Round 2 (mixed),Coach RAC (RobertAnthony Cruz),TikTok @coach.rac,~1.2M TikTok,Baseball coaching + viral culture,"Huge engaged reach, above the affordable band"
Low,Baseball,X / Twitter,Céspedes Family BBQ,@CespedesBBQ,unverified,OG baseball-culture duo,"Legacy tastemakers; RT = ""Baseball Twitter approved"""
Low,Baseball,TikTok / Instagram,Eric Sim (King of JUCO),TikTok @kingofjuco; IG @esim3400,"~1.5M TikTok, ~907k IG","Ex-pro catcher comedy / ""95mph"" grind",Defining pitcher-adjacent comedy creator; priced past indie budget
Low,Baseball,Show / Gaming (YT+Twitch),Fuzzy (Preston Miklich),YouTube @FuzzyFromYT + @Fuzzy-Gaming; X/TikTok @fuzzyfromyt,~604k subs main; 209k TikTok,Daily MLB highlights + The Show creator,Straddles real-MLB and Show audiences - the exact crossover we target
Low,Baseball,TikTok / Instagram,Jackson Olson,TikTok @jacksonolson_,~2M TikTok (unverified exact),Savannah Bananas star / POV skits,Baseball-entertainment crossover king (Gatorade/Reebok = agency pricing)
Low,Baseball,TikTok / Instagram,Jenna Bandy,TikTok @jennabandy21,~1.5M TikTok,Multi-sport trick shots,Only partially baseball; priced large
Low,Baseball,TikTok / Instagram,Jimmy O'Brien (Jomboy),IG @jomboy_; Jomboy Media TikTok,~860k IG; ~723k TikTok,Lip-reading breakdowns / media empire,"Massive credibility, but MLB-invested media co = way past indie budget"
Low,Baseball,Show / Gaming (YT+Twitch),Littlemann17 (AJ),YouTube @Littlemann17,~401k subs,Diamond Dynasty tips,Ratings-literate audience that already obsesses over attribute numbers
Low (dream one-off),Baseball,Show / Gaming (YT+Twitch),Mighty Goat,YouTube @MightyGoat; X @itsmightygoat,~662k subs,"Road to the Show + Diamond Dynasty variety, comedy series","The biggest RTTS/career-mode channel - ""build a guy and sim his career"" is exactly his format"
Low,Baseball,TikTok / Instagram,Zack Hample,TikTok/IG @zack_hample,"~403k TikTok, ~114k IG",Ballhawk / stadium stunts,"Challenge-style content adapts to ""spin the reel"" hooks"
Low,Basketball,NBA / NBA 2K,CashNasty,YouTube CashNastyGaming,~4.3M+ YT (unverified),NBA 2K + gaming variety,Large 2K audience; macro pricing
Low,Basketball,NBA / NBA 2K,LSK (Kristopher London),YouTube @LSK; Twitch,~6M YT,Basketball challenges/comedy,Big hoops-gaming reach; too pricey
Low,Basketball,NBA / NBA 2K,Nick Wright,X @getnickwright,~630k X,NBA hot-takes / TV personality,"Reach exists but broadcaster rates, looser fit"
Low,Basketball,NBA / NBA 2K,SoLLUMINATI,YouTube SoLLUMINATI,~2.2M YT,NBA 2K + rage/comedy,2K core audience; macro pricing
Low,Basketball,NBA / NBA 2K,The Professor,YouTube @Professorlive,~8.6M YT,Streetball entertainment,"Broad reach, but not a ratings/gaming audience; macro"
Low,Basketball,NBA / NBA 2K,Troydan,YouTube @Troydan,~3.36M YT,NBA 2K challenge/comedy,Signature wager/challenge format maps onto build-and-sim
Low,Basketball,NBA / NBA 2K,ypk.raye,TikTok @ypk.raye,~7.1M TikTok,Basketball comedy skits,Huge casual reach but macro CPM
Low,Football,Round 2 (Madden/CFB/NFL),biggycookthebook,TikTok @biggycookthebook,~2M TikTok,CFB/NFL comedy sketches + betting,Massive sports-comedy reach; pricey
Low,Football,College (culture+gaming),Brandon F. Walker,TikTok @brandonfwalker (Barstool),~115k TikTok,"""King of College Football"" takes","Sponsorships route through Barstool sales, not indie DMs"
Low,Football,Round 2 (Madden/CFB/NFL),Chiseled Adonis,YouTube ~1M; IG @chiseledadonis,"~805k IG, ~222k TikTok",NFL primetime recap comedy,Big NFL-culture reach; too costly for a lean budget
Low,Football,College (culture+gaming),Eric Rayweather,YouTube/TikTok/X @EricRayweather,~665k YT,EA CFB/Madden news + tips,Audience opens CFB game content daily; news format = integrations only
Low,Football,College (culture+gaming),FlemLo Raps,YouTube @FlemLoRaps,~914k,"""What Happened To…"" career-arc storytelling","Career arcs (busts, legends) map to sim verdicts - but priced far above budget"
Low,Football,College (culture+gaming),Lacey Jane Brown,TikTok @laceyjanebrown,~614k TikTok,CFB fan-culture humor,Broad casual reach beyond the sim-gamer niche
Low,Football,Round 2 (Madden/CFB/NFL),RBT,YouTube @RBT,~1.4M YT,Long-form Madden & CFB dynasty/rebuild,"Exact-audience match; larger reach, pricier"
Low,Football,Round 2 (Madden/CFB/NFL),Toke,YouTube @Toke (MaddenGOAT),~749k YT,Madden MUT + franchise,"Madden reach, but MUT-heavy = looser fit"
Low,Soccer,EA FC / Football Manager,Ben Black,TikTok @benblack; IG/YouTube,~26.8M TikTok,Soccer challenges/culture,"Enormous reach, out of budget; note for scale-up"
Low,Soccer,EA FC / Football Manager,ChrisMD,YouTube ChrisMD,~6.3M YT,FIFA gameplay + IRL challenges,Great fit but too expensive
Low,Soccer,EA FC / Football Manager,NepentheZ,YouTube @NepentheZ; Twitch,~1.96M YT,"EA FC Ultimate Team, ex-pro",Massive UT audience; above budget except a small integration
Low,Soccer,EA FC / Football Manager,Tifo Football,YouTube Tifo Football,~1.76M YT,Tactics/analysis explainers,Analytical audience fits ratings depth but brand-owned + pricey
